Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Battery_Cell,C5290176
"C1, C13, C15, C16, C17, C18, C19, C2, C3, C4, C7",0603,11,100n,C14663
C10,0603,1,1u,C307514
"C11, C12, C14, C6, C8, C9",0603,6,10u,C19702
C5,C_Elec_10x10.2,1,470u,C178632
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,LED,C84256
D9,D_SOD-123,1,MBR0520,C5204745
J1,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,C1,C495537
J2,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,C2,C495537
J3,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,C3,C495537
J4,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,AUX,C495537
J5,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,Solenoid,C495537
"J6, J8, J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,3,SSC1,C495539
"JP1, JP2, JP3, JP4, JP5, JP6",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,6,~,
L1,L_Sunlord_MWSA0604S,1,15u,C408458
L2,0805,1,2.2u,C431245
Q1,SOT-523,1,DMG1012T,C20512
"Q2, Q3, Q4",SOT-23,3,2N7002H,C150714
"R1, R2, R20, R23, R25, R27, R3, R34, R35, R36, R4, R5, R6, R7, R8",0402,15,200,C25087
"R10, R13, R14, R15, R16, R17, R18, R19, R21, R24, R26, R28, R29, R30, R31, R32, R33, R9",0402,18,10k,C26083
R11,0402,1,1M,C26083
R12,0402,1,178k,C321342
R22,0402,1,560,C163460
"U1, U2",TSSOP-10_3x3mm_P0.5mm,2,ADS1115IDGS,C37593
U3,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,NBM7100A,C17701903
U4,Texas_DRC0010J,1,TPS63000,C24966
U5,LQFP-64_10x10mm_P0.5mm,1,STM32L431RCTx,C92468
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN33X,C73651
