Designator,Mid X,Mid Y,Rotation,Layer
BT1,135.65,-84.0,180.0,bottom
C1,165.1,-94.7,0.0,top
C10,89.7,-82.1,90.0,top
C11,170.0,-75.75,270.0,top
C12,90.5,-76.7,0.0,top
C13,142.75,-79.25,0.0,top
C14,171.5,-75.75,270.0,top
C15,142.475,-84.5,180.0,top
C16,120.75,-80.75,0.0,top
C17,181.4875,-79.725,180.0,top
C18,181.4875,-87.75,180.0,top
C19,181.4875,-95.7,180.0,top
C2,163.0,-85.0,90.0,top
C3,88.9,-89.7,180.0,top
C4,85.0,-87.725,270.0,top
C5,92.05,-85.9,90.0,bottom
C6,164.5,-75.75,90.0,top
C7,163.25,-80.0,0.0,top
C8,90.5,-79.8,0.0,top
C9,90.5,-78.2,0.0,top
D1,131.0,-95.75,180.0,bottom
D2,134.5,-95.75,180.0,bottom
D3,138.0,-95.75,180.0,bottom
D4,141.5,-95.75,180.0,bottom
D5,145.0,-95.75,180.0,bottom
D6,148.5,-95.75,180.0,bottom
D7,152.0,-95.75,180.0,bottom
D8,155.5,-95.75,180.0,bottom
D9,190.0,-88.0,180.0,top
J1,177.0,-75.0,90.0,bottom
J2,177.0,-81.0,90.0,bottom
J3,177.0,-88.0,90.0,bottom
J4,176.894277,-94.0,90.0,bottom
J5,189.85,-87.875,180.0,bottom
J6,184.025,-76.5,90.0,bottom
J7,82.5,-89.54,90.0,bottom
J8,184.0,-84.5,90.0,bottom
J9,184.0,-92.5,90.0,bottom
L1,94.0,-86.0,90.0,top
L2,167.25,-73.25,180.0,top
Q1,190.0,-85.5,90.0,top
Q2,185.1875,-77.525,0.0,top
Q3,185.1875,-85.55,0.0,top
Q4,185.1875,-93.5,0.0,top
R1,143.0,-91.99,90.0,top
R10,85.0,-85.0,90.0,top
R11,170.0,-78.75,180.0,top
R12,168.0,-78.75,180.0,top
R13,142.25,-80.75,180.0,top
R14,144.25,-80.75,180.0,top
R15,155.5,-76.8,180.0,top
R16,160.25,-92.99,0.0,top
R17,160.25,-92.0,0.0,top
R18,159.5,-88.0,270.0,top
R19,160.5,-87.99,270.0,top
R2,144.0,-92.0,90.0,top
R20,189.0,-83.5,180.0,top
R21,191.0,-83.5,0.0,top
R22,108.75,-81.75,90.0,top
R23,182.2875,-76.525,180.0,top
R24,184.1875,-75.325,0.0,top
R25,182.2875,-84.55,180.0,top
R26,184.1875,-83.35,0.0,top
R27,182.2875,-92.5,180.0,top
R28,184.1875,-91.3,0.0,top
R29,169.75,-92.5,0.0,top
R3,145.0,-92.0,90.0,top
R30,165.25,-86.0,0.0,top
R31,167.75,-86.0,0.0,top
R32,160.75,-76.76,0.0,top
R33,160.75,-77.75,0.0,top
R34,175.5,-84.5,0.0,bottom
R35,176.0,-80.0,0.0,top
R36,178.49,-84.5,0.0,bottom
R4,146.0,-92.0,90.0,top
R5,147.0,-92.0,90.0,top
R6,154.0,-92.99,90.0,top
R7,155.0,-93.0,90.0,top
R8,156.0,-93.0,90.0,top
R9,165.75,-78.75,0.0,top
U1,165.35,-88.4,180.0,top
U2,165.35,-92.1,180.0,top
U3,88.5,-86.0,0.0,top
U4,167.25,-76.25,270.0,top
U5,151.5,-84.6,315.0,top
U6,113.0,-81.75,180.0,top
